language	script	word_order	sentence_example	stress_pattern	case_system	gender_system	rhythm	token_count	santok_length_factor	santok_balance_index	santok_entropy_index	santok_mean	santok_variance	phase1_cluster_count	phase1_boundary_count	phase1_repetition_score	phase2_stability_score	phase2_identity_count	phase3_node_count	phase3_edge_count	phase3_density	embedding_vector	embedding_dim	pipeline	device
Hungarian	Latin	SVO	Sample sentence in Hungarian.	Varies	Varies	Varies	Varies	15	5	3	5	3.4666666984558105	5.182222366333008	8	12	0	0	0	1	0	0	[5,3,5,3.4666666984558105,5.182222366333008,15,8,0,12,1,2,2,1,2,5,1,1,5,1,2,2,1,4,6,4,2,4,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8,3,4,6,4,5,1,7,3,1,5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]	74	santok + threshold-onset phase1/2/3	cuda
Swedish	Latin	SVO	Sample sentence in Swedish.	Varies	Varies	Varies	Varies	15	5	3	4	3.133333444595337	4.515555381774902	7	11	0	0	0	1	0	0	[5,3,4,3.133333444595337,4.515555381774902,15,7,0,11,6,2,1,2,2,1,1,0,2,1,2,0,1,4,6,4,2,4,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,4,6,6,5,1,7,3,1,5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]	74	santok + threshold-onset phase1/2/3	cuda
Zulu	Latin	SVO	Sample sentence in Zulu.	Varies	Varies	Varies	Varies	15	5	3	4	3.066666603088379	4.195555686950684	7	12	0	0	0	2	0	0	[5,3,4,3.066666603088379,4.195555686950684,15,7,0,12,3,2,1,1,6,1,1,0,2,1,2,5,4,4,6,4,2,4,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,5,3,4,6,1,5,1,7,3,1,5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]	74	santok + threshold-onset phase1/2/3	cuda
Amharic	Ge'ez	SVO	Sample sentence in Amharic.	Varies	Varies	Varies	Varies	15	5	3	4	3.200000047683716	4.293333530426025	7	12	0	0	0	1	0	0	[5,3,4,3.200000047683716,4.293333530426025,15,7,0,12,2,2,1,2,2,5,1,0,3,1,2,4,3,4,6,4,2,4,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,6,3,4,6,2,5,1,7,3,1,5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]	74	santok + threshold-onset phase1/2/3	cuda
Hausa	Latin/Ajami	SVO	Sample sentence in Hausa.	Varies	Varies	Varies	Varies	15	5	3	4	3.200000047683716	4.960000038146973	7	12	0	0	0	1	0	0	[5,3,4,3.200000047683716,4.960000038146973,15,7,0,12,6,2,1,1,2,2,1,0,2,1,2,1,2,4,6,4,2,4,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,4,6,7,5,1,7,3,1,5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]	74	santok + threshold-onset phase1/2/3	cuda
Burmese	Burmese script	SVO	Sample sentence in Burmese.	Varies	Varies	Varies	Varies	15	5	3	4	3.200000047683716	4.293333530426025	7	12	0	0	0	1	0	0	[5,3,4,3.200000047683716,4.293333530426025,15,7,0,12,2,2,1,2,2,5,1,0,3,1,2,4,3,4,6,4,2,4,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,6,3,4,6,2,5,1,7,3,1,5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]	74	santok + threshold-onset phase1/2/3	cuda
Khmer	Khmer script	SVO	Sample sentence in Khmer.	Varies	Varies	Varies	Varies	15	5	3	4	3.200000047683716	4.293333530426025	7	12	0	0	0	1	0	0	[5,3,4,3.200000047683716,4.293333530426025,15,7,0,12,2,2,1,2,2,5,1,0,3,1,2,4,3,4,6,4,2,4,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,6,3,4,6,2,5,1,7,3,1,5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]	74	santok + threshold-onset phase1/2/3	cuda
Sinhalese	Sinhala script	SVO	Sample sentence in Sinhalese.	Varies	Varies	Varies	Varies	15	5	3	4	3.3333332538604736	4.622222423553467	7	12	0	0	0	2	0	0	[5,3,4,3.3333332538604736,4.622222423553467,15,7,0,12,2,3,1,1,2,5,1,0,4,1,2,3,2,4,6,4,2,4,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,7,3,4,6,3,5,1,7,3,1,5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]	74	santok + threshold-onset phase1/2/3	cuda
Somali	Latin	SVO	Sample sentence in Somali.	Varies	Varies	Varies	Varies	15	5	3	4	3.200000047683716	4.293333530426025	7	12	0	0	0	1	0	0	[5,3,4,3.200000047683716,4.293333530426025,15,7,0,12,2,2,1,2,2,5,1,0,3,1,2,4,3,4,6,4,2,4,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,6,3,4,6,2,5,1,7,3,1,5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]	74	santok + threshold-onset phase1/2/3	cuda
Nepali	Devanagari	SVO	Sample sentence in Nepali.	Varies	Varies	Varies	Varies	15	5	3	4	3	4	7	12	0	0	0	2	0	0	[5,3,4,3,4,15,7,0,12,2,2,1,6,2,1,1,0,1,1,2,5,4,4,6,4,2,4,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,4,3,4,6,1,5,1,7,3,1,5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]	74	santok + threshold-onset phase1/2/3	cuda
Pashto	Perso-Arabic	SVO	Sample sentence in Pashto.	Varies	Varies	Varies	Varies	15	5	3	4	3.200000047683716	4.293333530426025	7	12	0	0	0	1	0	0	[5,3,4,3.200000047683716,4.293333530426025,15,7,0,12,2,2,1,2,2,5,1,0,3,1,2,4,3,4,6,4,2,4,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,6,3,4,6,2,5,1,7,3,1,5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]	74	santok + threshold-onset phase1/2/3	cuda
Tagalog	Latin	SVO	Sample sentence in Tagalog.	Varies	Varies	Varies	Varies	15	5	3	4	3.200000047683716	4.293333530426025	7	12	0	0	0	1	0	0	[5,3,4,3.200000047683716,4.293333530426025,15,7,0,12,2,2,1,2,2,5,1,0,3,1,2,4,3,4,6,4,2,4,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,6,3,4,6,2,5,1,7,3,1,5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]	74	santok + threshold-onset phase1/2/3	cuda
Hebrew	Hebrew	SVO	Sample sentence in Hebrew.	Varies	Varies	Varies	Varies	15	5	3	5	3.4666666984558105	5.182222366333008	8	12	0	0	0	1	0	0	[5,3,5,3.4666666984558105,5.182222366333008,15,8,0,12,1,2,2,1,2,5,1,1,5,1,2,2,1,4,6,4,2,4,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8,3,4,6,4,5,1,7,3,1,5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]	74	santok + threshold-onset phase1/2/3	cuda
Danish	Latin	SVO	Sample sentence in Danish.	Varies	Varies	Varies	Varies	15	5	3	5	3.3333332538604736	5.288888931274414	8	12	0	0	0	1	0	0	[5,3,5,3.3333332538604736,5.288888931274414,15,8,0,12,2,2,1,1,1,2,5,1,1,1,2,2,3,4,6,4,2,4,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,4,6,8,5,1,7,3,1,5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]	74	santok + threshold-onset phase1/2/3	cuda
